driver_age,driver_experience,previous_accidents,annual_mileage_x1000_km,car_manufacturing_year,car_age,insurance_premium_
56.0,32.0,4.0,17.0,2002.0,23.0,488.35
46.0,19.0,0.0,21.0,2025.0,0.0,486.15
32.0,11.0,4.0,15.0,2020.0,5.0,497.55
60.0,0.0,4.0,19.0,1991.0,34.0,498.35
25.0,7.0,0.0,13.0,2005.0,20.0,495.55
38.0,13.0,2.0,11.0,1998.0,27.0,494.75
56.0,37.0,3.0,14.0,1998.0,27.0,485.6
36.0,18.0,1.0,19.0,2000.0,25.0,492.35
40.0,10.0,4.0,14.0,2011.0,14.0,497.1
28.0,10.0,5.0,12.0,2022.0,3.0,499.8
28.0,10.0,5.0,20.0,2025.0,0.0,499.9
41.0,2.0,3.0,24.0,2012.0,13.0,498.2
53.0,32.0,5.0,24.0,2023.0,2.0,488.7
57.0,5.0,2.0,15.0,1998.0,27.0,493.55
41.0,9.0,5.0,13.0,2013.0,12.0,498.45
20.0,2.0,1.0,23.0,1997.0,28.0,500.85
39.0,21.0,1.0,22.0,1996.0,29.0,491.4
19.0,1.0,4.0,23.0,2025.0,0.0,503.05
41.0,1.0,0.0,19.0,2007.0,18.0,494.25
61.0,12.0,2.0,14.0,1992.0,33.0,491.2
47.0,29.0,4.0,16.0,2017.0,8.0,489.5
55.0,1.0,2.0,12.0,1995.0,30.0,495.3
19.0,1.0,0.0,16.0,2010.0,15.0,498.2
38.0,0.0,5.0,13.0,2017.0,8.0,501.35
50.0,32.0,5.0,22.0,1990.0,35.0,492.5
29.0,8.0,0.0,22.0,2025.0,0.0,492.9
39.0,16.0,4.0,19.0,2010.0,15.0,495.85
61.0,8.0,0.0,21.0,2024.0,1.0,486.55
42.0,10.0,3.0,12.0,2002.0,23.0,496.0
44.0,14.0,1.0,25.0,1999.0,26.0,492.35
59.0,23.0,4.0,22.0,1999.0,26.0,491.0
45.0,27.0,2.0,22.0,2002.0,23.0,489.3
33.0,15.0,3.0,19.0,2013.0,12.0,495.55
32.0,14.0,4.0,15.0,1991.0,34.0,499.55
64.0,30.0,0.0,18.0,2011.0,14.0,480.5
61.0,4.0,0.0,12.0,2006.0,19.0,489.1
20.0,2.0,0.0,16.0,2025.0,0.0,496.2
54.0,10.0,0.0,13.0,2003.0,22.0,489.05
24.0,6.0,2.0,22.0,1999.0,26.0,500.1
38.0,20.0,3.0,22.0,2024.0,1.0,492.1
26.0,8.0,5.0,24.0,2014.0,11.0,502.2
56.0,34.0,1.0,20.0,1992.0,33.0,484.4
35.0,17.0,2.0,15.0,2006.0,19.0,493.55
21.0,0.0,2.0,22.0,2001.0,24.0,502.3
42.0,24.0,5.0,18.0,2013.0,12.0,494.0
31.0,13.0,5.0,20.0,2018.0,7.0,499.1
26.0,8.0,1.0,24.0,2014.0,11.0,496.2
43.0,7.0,1.0,11.0,2025.0,0.0,491.35
19.0,1.0,5.0,15.0,2015.0,10.0,505.15
37.0,19.0,0.0,13.0,1990.0,35.0,491.05
45.0,27.0,2.0,14.0,2009.0,16.0,488.2
64.0,13.0,4.0,12.0,2017.0,8.0,490.7
24.0,6.0,1.0,19.0,2005.0,20.0,497.85
61.0,34.0,1.0,13.0,2006.0,19.0,481.65
25.0,7.0,5.0,25.0,2017.0,8.0,502.45
64.0,36.0,3.0,12.0,2001.0,24.0,483.9
52.0,4.0,4.0,20.0,2016.0,9.0,496.3
31.0,13.0,4.0,21.0,2019.0,6.0,497.55
34.0,13.0,1.0,19.0,2023.0,2.0,491.95
53.0,25.0,0.0,17.0,1995.0,30.0,485.75
57.0,3.0,3.0,16.0,1996.0,29.0,495.9
21.0,3.0,4.0,11.0,2021.0,4.0,501.85
19.0,1.0,1.0,15.0,2021.0,4.0,498.55
23.0,5.0,4.0,22.0,2014.0,11.0,502.1
59.0,39.0,3.0,21.0,2022.0,3.0,482.35
21.0,3.0,3.0,24.0,1996.0,29.0,503.5
46.0,28.0,2.0,25.0,2001.0,24.0,489.05
35.0,17.0,5.0,21.0,2005.0,20.0,498.45
43.0,13.0,5.0,13.0,2005.0,20.0,497.65
61.0,31.0,1.0,11.0,2025.0,0.0,480.55
51.0,33.0,3.0,14.0,2002.0,23.0,487.4
27.0,9.0,2.0,23.0,1996.0,29.0,498.95
53.0,22.0,2.0,12.0,2025.0,0.0,486.4
31.0,13.0,4.0,12.0,1998.0,27.0,499.2
48.0,30.0,4.0,13.0,2021.0,4.0,488.45
65.0,24.0,2.0,18.0,2000.0,25.0,486.2
32.0,14.0,4.0,18.0,1997.0,28.0,499.1
25.0,7.0,3.0,22.0,2022.0,3.0,498.8
31.0,1.0,0.0,25.0,2012.0,13.0,496.05
40.0,13.0,3.0,17.0,2014.0,11.0,494.55
57.0,39.0,2.0,16.0,1997.0,28.0,483.5
38.0,20.0,2.0,19.0,2011.0,14.0,491.75
33.0,15.0,3.0,14.0,1993.0,32.0,497.3
62.0,5.0,4.0,22.0,1992.0,33.0,496.5
35.0,5.0,4.0,11.0,2018.0,7.0,498.75
64.0,2.0,5.0,18.0,2018.0,7.0,495.7
41.0,6.0,2.0,17.0,2023.0,2.0,494.05
43.0,7.0,1.0,17.0,2023.0,2.0,491.85
42.0,14.0,5.0,25.0,2017.0,8.0,496.95
62.0,28.0,4.0,13.0,2002.0,23.0,488.15
58.0,32.0,3.0,14.0,2004.0,21.0,486.1
46.0,28.0,4.0,20.0,2012.0,13.0,490.7
32.0,14.0,3.0,19.0,2015.0,10.0,495.85
62.0,26.0,5.0,25.0,1993.0,32.0,491.75
18.0,0.0,2.0,16.0,2015.0,10.0,501.2
42.0,24.0,4.0,25.0,1998.0,27.0,494.35
24.0,6.0,3.0,25.0,1994.0,31.0,502.25
26.0,8.0,2.0,15.0,2021.0,4.0,496.55
41.0,23.0,1.0,13.0,2009.0,16.0,488.65
18.0,0.0,3.0,19.0,2000.0,25.0,504.35
61.0,32.0,5.0,15.0,2004.0,21.0,488.55
25.0,3.0,1.0,15.0,2021.0,4.0,496.75
41.0,21.0,1.0,24.0,2017.0,8.0,489.0
28.0,1.0,0.0,14.0,2011.0,14.0,496.2
34.0,9.0,4.0,24.0,2006.0,19.0,499.6
25.0,4.0,3.0,14.0,2015.0,10.0,500.0
52.0,9.0,1.0,22.0,1996.0,29.0,492.4
52.0,32.0,0.0,11.0,2015.0,10.0,481.55
50.0,32.0,5.0,17.0,2014.0,11.0,489.85
22.0,4.0,2.0,19.0,1999.0,26.0,500.95
59.0,30.0,3.0,13.0,2008.0,17.0,486.05
56.0,35.0,1.0,22.0,2000.0,25.0,483.4
58.0,23.0,4.0,23.0,2002.0,23.0,490.95
45.0,14.0,0.0,25.0,1997.0,28.0,490.85
24.0,6.0,1.0,12.0,1993.0,32.0,498.7
26.0,7.0,4.0,13.0,2020.0,5.0,499.85
25.0,4.0,1.0,11.0,2017.0,8.0,496.65
29.0,11.0,3.0,16.0,2000.0,25.0,498.7
51.0,3.0,3.0,21.0,1990.0,35.0,497.95
50.0,11.0,3.0,21.0,2013.0,12.0,493.45
65.0,1.0,5.0,17.0,2020.0,5.0,495.55
40.0,22.0,5.0,21.0,2015.0,10.0,494.95
41.0,23.0,0.0,21.0,1994.0,31.0,489.05
54.0,35.0,3.0,12.0,2009.0,16.0,485.4
52.0,34.0,4.0,18.0,2000.0,25.0,488.8
61.0,25.0,1.0,24.0,2022.0,3.0,483.3
57.0,26.0,2.0,16.0,2016.0,9.0,485.5
39.0,4.0,4.0,24.0,2023.0,2.0,498.4
44.0,19.0,5.0,14.0,2004.0,21.0,495.8
52.0,10.0,5.0,15.0,2021.0,4.0,495.25
18.0,0.0,4.0,18.0,2010.0,15.0,504.8
52.0,34.0,5.0,24.0,1994.0,31.0,491.2
54.0,36.0,3.0,13.0,1995.0,30.0,486.55
64.0,5.0,0.0,13.0,2011.0,14.0,487.75
31.0,7.0,1.0,24.0,2007.0,18.0,496.2
20.0,2.0,0.0,25.0,2003.0,22.0,498.85
18.0,0.0,1.0,24.0,1999.0,26.0,501.7
22.0,4.0,1.0,21.0,2002.0,23.0,499.25
43.0,25.0,0.0,14.0,2020.0,5.0,485.1
31.0,12.0,4.0,11.0,2019.0,6.0,497.35
56.0,38.0,1.0,19.0,1992.0,33.0,483.15
44.0,17.0,0.0,18.0,2019.0,6.0,487.6
26.0,8.0,1.0,18.0,1995.0,30.0,497.8
32.0,14.0,2.0,24.0,2018.0,7.0,494.3
32.0,14.0,4.0,20.0,1997.0,28.0,499.2
43.0,11.0,3.0,16.0,2022.0,3.0,493.7
59.0,35.0,1.0,17.0,2006.0,19.0,481.95
30.0,3.0,2.0,16.0,2000.0,25.0,499.4
49.0,4.0,3.0,19.0,2002.0,23.0,496.75
56.0,36.0,3.0,13.0,2000.0,25.0,485.65
49.0,7.0,1.0,24.0,2020.0,5.0,491.3
21.0,3.0,0.0,13.0,2017.0,8.0,496.35
47.0,29.0,1.0,13.0,1995.0,30.0,487.05
54.0,8.0,2.0,20.0,2005.0,20.0,492.8
40.0,22.0,3.0,13.0,1993.0,32.0,493.75
56.0,13.0,1.0,19.0,2024.0,1.0,487.45
62.0,39.0,0.0,22.0,2015.0,10.0,478.0
32.0,14.0,1.0,14.0,2001.0,24.0,494.0
60.0,21.0,4.0,23.0,2000.0,25.0,491.35
46.0,10.0,0.0,17.0,2014.0,11.0,489.75
53.0,22.0,2.0,24.0,2007.0,18.0,488.8
30.0,0.0,3.0,25.0,2008.0,17.0,501.45
49.0,31.0,1.0,19.0,2012.0,13.0,484.65
24.0,6.0,0.0,21.0,2007.0,18.0,496.25
39.0,21.0,4.0,22.0,2015.0,10.0,494.0
45.0,27.0,0.0,17.0,1995.0,30.0,486.75
19.0,1.0,5.0,19.0,1993.0,32.0,507.55
59.0,0.0,4.0,22.0,2018.0,7.0,496.0
62.0,39.0,2.0,13.0,2023.0,2.0,479.75
23.0,5.0,3.0,25.0,2006.0,19.0,501.55
45.0,20.0,2.0,14.0,2005.0,20.0,490.7
45.0,8.0,1.0,24.0,1991.0,34.0,494.7
61.0,8.0,0.0,18.0,2023.0,2.0,486.5
61.0,9.0,5.0,16.0,1997.0,28.0,496.2
37.0,19.0,4.0,15.0,2002.0,23.0,495.95
47.0,29.0,4.0,23.0,1997.0,28.0,491.85
28.0,10.0,0.0,14.0,2019.0,6.0,492.7
45.0,24.0,5.0,18.0,2021.0,4.0,492.6
42.0,24.0,0.0,11.0,2025.0,0.0,484.95
56.0,10.0,1.0,24.0,2019.0,6.0,489.1
50.0,32.0,2.0,19.0,1990.0,35.0,487.85
18.0,0.0,4.0,11.0,2006.0,19.0,504.85
44.0,6.0,1.0,18.0,2009.0,16.0,493.4
30.0,12.0,2.0,14.0,2013.0,12.0,495.3
58.0,26.0,1.0,19.0,2011.0,14.0,484.45
20.0,2.0,5.0,24.0,2018.0,7.0,504.8
56.0,26.0,4.0,21.0,2011.0,14.0,489.45
23.0,5.0,0.0,15.0,1998.0,27.0,497.35
25.0,7.0,0.0,13.0,1999.0,26.0,496.15
44.0,24.0,2.0,19.0,2025.0,0.0,487.95
26.0,6.0,3.0,21.0,2017.0,8.0,499.35
54.0,5.0,5.0,24.0,2017.0,8.0,497.2
50.0,23.0,2.0,24.0,2010.0,15.0,488.8
59.0,32.0,3.0,19.0,2013.0,12.0,485.25
61.0,28.0,1.0,14.0,1991.0,34.0,485.0
41.0,21.0,5.0,21.0,1997.0,28.0,496.85
32.0,14.0,1.0,14.0,2016.0,9.0,492.5
49.0,27.0,4.0,22.0,2011.0,14.0,490.6
49.0,20.0,5.0,18.0,2016.0,9.0,493.5
41.0,6.0,3.0,12.0,2018.0,7.0,495.8
58.0,16.0,4.0,19.0,1992.0,33.0,493.85
29.0,11.0,0.0,23.0,2002.0,23.0,494.35
56.0,38.0,3.0,24.0,1999.0,26.0,485.7
19.0,1.0,2.0,16.0,2025.0,0.0,499.7
20.0,2.0,0.0,19.0,1998.0,27.0,499.05
54.0,27.0,0.0,18.0,2016.0,9.0,482.9
34.0,16.0,2.0,25.0,2023.0,2.0,492.85
19.0,1.0,5.0,25.0,1990.0,35.0,508.15
19.0,0.0,0.0,17.0,2021.0,4.0,497.45
45.0,27.0,3.0,23.0,2014.0,11.0,489.65
40.0,12.0,4.0,24.0,2018.0,7.0,496.3
54.0,29.0,0.0,11.0,1996.0,29.0,483.95
49.0,22.0,3.0,24.0,1992.0,33.0,492.6
50.0,18.0,1.0,22.0,2009.0,16.0,488.8
18.0,0.0,3.0,13.0,2009.0,16.0,503.15
36.0,18.0,4.0,21.0,2019.0,6.0,495.05
19.0,1.0,3.0,24.0,2024.0,1.0,501.7
61.0,28.0,2.0,12.0,2024.0,1.0,483.1
43.0,25.0,4.0,15.0,2016.0,9.0,491.55
49.0,15.0,5.0,25.0,2015.0,10.0,495.45
23.0,5.0,1.0,15.0,2003.0,22.0,498.35
49.0,18.0,2.0,15.0,2006.0,19.0,490.45
21.0,3.0,5.0,14.0,2007.0,18.0,504.9
28.0,0.0,3.0,15.0,2018.0,7.0,500.35
34.0,13.0,4.0,13.0,2009.0,16.0,497.55
55.0,1.0,1.0,22.0,2016.0,9.0,492.2
41.0,23.0,2.0,11.0,2007.0,18.0,490.25
22.0,4.0,5.0,15.0,1993.0,32.0,505.85
51.0,33.0,5.0,23.0,1990.0,35.0,492.05
23.0,3.0,1.0,19.0,1990.0,35.0,500.45
39.0,0.0,3.0,23.0,2015.0,10.0,498.85
28.0,7.0,1.0,19.0,2009.0,16.0,496.35
65.0,28.0,5.0,14.0,2012.0,13.0,488.1
33.0,15.0,0.0,13.0,1999.0,26.0,492.15
50.0,2.0,2.0,11.0,2000.0,25.0,495.45
26.0,8.0,1.0,12.0,1994.0,31.0,497.6
23.0,5.0,5.0,18.0,1990.0,35.0,505.8
33.0,9.0,3.0,11.0,2006.0,19.0,497.65
46.0,18.0,5.0,18.0,2011.0,14.0,495.2
20.0,2.0,3.0,23.0,2023.0,2.0,501.25
37.0,19.0,1.0,17.0,2018.0,7.0,489.95
53.0,22.0,3.0,25.0,1993.0,32.0,491.75
36.0,18.0,4.0,18.0,1994.0,31.0,497.4
43.0,25.0,4.0,22.0,2000.0,25.0,493.5
20.0,2.0,4.0,16.0,2010.0,15.0,503.7
36.0,18.0,0.0,22.0,2024.0,1.0,488.6
37.0,7.0,1.0,24.0,2001.0,24.0,495.6
49.0,0.0,5.0,25.0,2015.0,10.0,499.95
24.0,2.0,5.0,25.0,2008.0,17.0,505.05
58.0,23.0,0.0,19.0,1996.0,29.0,485.35
50.0,22.0,3.0,13.0,1996.0,29.0,491.45
57.0,7.0,0.0,20.0,2015.0,10.0,488.5
56.0,36.0,3.0,14.0,1994.0,31.0,486.3
35.0,2.0,3.0,23.0,2010.0,15.0,499.55
57.0,32.0,2.0,16.0,2003.0,22.0,485.0
18.0,0.0,5.0,18.0,1993.0,32.0,508.0
28.0,7.0,4.0,15.0,2012.0,13.0,500.35
45.0,27.0,3.0,13.0,2009.0,16.0,489.65
42.0,24.0,2.0,16.0,2004.0,21.0,490.3
40.0,22.0,5.0,14.0,2018.0,7.0,494.3
48.0,23.0,4.0,19.0,1997.0,28.0,493.25
47.0,13.0,3.0,23.0,2008.0,17.0,494.05
59.0,31.0,3.0,13.0,2017.0,8.0,484.85
52.0,15.0,0.0,14.0,2016.0,9.0,486.7
24.0,3.0,0.0,17.0,1993.0,32.0,498.35
33.0,15.0,5.0,17.0,2004.0,21.0,499.35
43.0,20.0,4.0,22.0,2024.0,1.0,492.6
65.0,13.0,3.0,22.0,1990.0,35.0,492.2
19.0,1.0,5.0,14.0,1992.0,33.0,507.4
18.0,0.0,5.0,16.0,2013.0,12.0,505.9
65.0,6.0,1.0,22.0,2016.0,9.0,488.7
29.0,9.0,0.0,23.0,2025.0,0.0,492.65
22.0,4.0,4.0,13.0,2023.0,2.0,501.25
54.0,32.0,3.0,16.0,2018.0,7.0,485.6
49.0,22.0,5.0,22.0,2013.0,12.0,493.4
26.0,8.0,3.0,12.0,2013.0,12.0,498.7
58.0,18.0,1.0,18.0,1993.0,32.0,488.6
52.0,18.0,4.0,12.0,1992.0,33.0,494.1
36.0,18.0,5.0,21.0,2023.0,2.0,496.15
65.0,28.0,3.0,17.0,2012.0,13.0,485.25
33.0,15.0,0.0,19.0,2012.0,13.0,491.15
20.0,1.0,1.0,11.0,1994.0,31.0,500.85
37.0,0.0,4.0,18.0,2020.0,5.0,500.0
41.0,4.0,1.0,17.0,1995.0,30.0,495.95
50.0,19.0,0.0,16.0,1999.0,26.0,487.7
41.0,10.0,4.0,16.0,1996.0,29.0,498.5
28.0,1.0,1.0,16.0,2010.0,15.0,497.9
25.0,2.0,2.0,19.0,2009.0,16.0,499.95
53.0,22.0,0.0,12.0,1992.0,33.0,486.7
55.0,11.0,0.0,11.0,2011.0,14.0,487.65
57.0,19.0,0.0,23.0,1993.0,32.0,487.25
37.0,4.0,2.0,22.0,2017.0,8.0,496.3
52.0,34.0,2.0,16.0,2001.0,24.0,485.6
65.0,37.0,3.0,20.0,2025.0,0.0,481.4
42.0,24.0,5.0,21.0,1994.0,31.0,496.05
52.0,8.0,1.0,18.0,2002.0,23.0,491.9
42.0,24.0,3.0,13.0,2012.0,13.0,490.85
46.0,28.0,1.0,22.0,2019.0,6.0,485.6
35.0,17.0,5.0,20.0,2014.0,11.0,497.5
63.0,23.0,2.0,11.0,2016.0,9.0,484.95
35.0,16.0,5.0,19.0,2003.0,22.0,498.85
19.0,1.0,2.0,23.0,2025.0,0.0,500.05
52.0,29.0,5.0,23.0,2005.0,20.0,491.55
33.0,15.0,3.0,11.0,2011.0,14.0,495.35
